student number: ,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Correct
1,Practice,indicate,geometric,2,1735,1
2,Practice,indicate,geometric,2,529,1
3,Practice,indicate,geometric,1,461,1
4,Practice,indicate,geometric,1,556,0
5,Practice,indicate,geometric,1,543,0
6,Practice,indicate,geometric,1,722,0
7,Practice,indicate,geometric,1,606,1
8,Practice,indicate,geometric,1,591,0
9,Practice,contrast,edition,1,504,0
10,Practice,contrast,edition,1,445,0
11,Practice,contrast,edition,1,444,0
12,Practice,contrast,edition,1,452,1
13,Practice,contrast,edition,1,435,0
14,Practice,contrast,edition,2,506,1
15,Practice,contrast,edition,1,543,1
16,Practice,contrast,edition,2,738,1
17,Practice,washer,collar,1,517,1
18,Practice,washer,collar,2,489,1
19,Practice,washer,collar,2,543,1
20,Practice,washer,collar,1,578,1
21,Practice,washer,collar,1,516,0
22,Practice,washer,collar,1,432,0
23,Practice,washer,collar,1,384,0
24,Practice,washer,collar,1,441,0
25,Practice,matchbook,informal,2,609,1
26,Practice,matchbook,informal,1,497,1
