student number: ,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Correct,Arrow
1,Practice,diagonal,logistics,1,1056,0,0
2,Practice,logistics,diagonal,1,903,1,1
3,Practice,diagonal,logistics,1,587,0,0
4,Practice,diagonal,logistics,1,484,0,0
5,Practice,logistics,diagonal,1,570,0,0
6,Practice,diagonal,logistics,2,1412,1,2
7,Practice,logistics,diagonal,2,484,1,2
8,Practice,logistics,diagonal,1,873,1,1
9,Practice,linear,flatten,2,663,1,2
10,Practice,flatten,linear,2,397,0,0
11,Practice,flatten,linear,2,471,0,1
